path,siteliner_baseline_pct,local_overlap_pct,local_unique_words,self_canonical,no_meta_noindex,h1_count,author_profile_link_count
/send-money/usa-to-philippines,67,87.4,711,true,true,1,2
/send-money/usa-to-pakistan,67,87.3,710,true,true,1,2
/send-money/send-money-to-philippines,72,87.1,717,true,true,1,2
/send-money/send-money-to-pakistan,67,85.9,791,true,true,1,2
/send-money/send-money-to-india,69,85.4,863,true,true,1,2
/send-money/usa-to-india,66,83.1,1046,true,true,1,2
/banks/chase,57,69.4,506,true,true,1,0
/compare/wise-vs-worldremit,42,68.1,523,true,true,1,1
/compare/wise-vs-western-union,33,66.5,580,true,true,1,1
/compare/western-union-vs-moneygram,74,65.9,580,true,true,1,1
/compare/moneygram-vs-xoom,31,65.9,563,true,true,1,1
/compare/remitly-vs-western-union,78,65.8,613,true,true,1,1
/compare/ofx-vs-xoom,38,64.9,585,true,true,1,1
/compare/paypal-vs-revolut,76,61.1,670,true,true,1,1
/compare/wise-vs-paypal,75,60.9,665,true,true,1,1
/compare/ofx-vs-xe,42,57.7,742,true,true,1,1
/banks/hsbc,43,56.5,817,true,true,1,0
/compare/wise-vs-remitly,79,56.1,819,true,true,1,1
/companies/worldremit,54,55.9,530,true,true,1,2
/companies/moneygram,30,55,521,true,true,1,2
/companies/remitly,60,53.9,574,true,true,1,2
/companies/western-union,30,53.8,568,true,true,1,2
/news/revolut-africa-14-corridors-airtel-mtn-orange-money-2026,40,52.7,802,true,true,1,2
/iban/spain,56,51.2,987,true,true,1,1
/send-money/uk-to-vietnam,30,51,1924,true,true,1,2
/companies/xoom,38,50.7,592,true,true,1,2
/companies/xe,31,49,643,true,true,1,2
/companies/wise,49,48.8,660,true,true,1,2
/iban/czechia,47,45.7,819,true,true,1,1
/companies/ofx,59,45.4,662,true,true,1,2
/companies/instarem,43,45.2,632,true,true,1,2
/iban/hungary,41,44.4,1007,true,true,1,1
/companies/taptap-send,42,43.9,699,true,true,1,2
/swift-codes/mexico,31,42.1,909,true,true,1,0
/companies/ace-money-transfer,40,41.9,697,true,true,1,2
/guides/exchange-rate-markup-explained,30,39.2,1267,true,true,1,3
/guides/swift-codes-explained,32,38.6,1138,true,true,1,3
