url	status	redirects_to	note
https://sendmoneycompare.com/send-money/australia-to-argentina	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/australia-to-brazil	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/australia-to-colombia	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/australia-to-egypt	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/australia-to-indonesia	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/australia-to-japan	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/australia-to-kenya	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/australia-to-mexico	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/australia-to-morocco	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/australia-to-south-africa	301	/send-money/australia-to-zimbabwe	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/australia-to-taiwan	404		outside the corridor allowlist (404)
https://sendmoneycompare.com/send-money/australia-to-thailand	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/australia-to-turkey	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/australia-to-ukraine	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/austria-to-china	301	/send-money/germany-to-china	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/austria-to-turkey	301	/send-money/germany-to-turkey	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/belgium-to-china	301	/send-money/germany-to-china	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/belgium-to-ethiopia	301	/send-money/austria-to-ethiopia	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/belgium-to-pakistan	301	/send-money/france-to-pakistan	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/belgium-to-sri-lanka	301	/send-money/austria-to-sri-lanka	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/belgium-to-uganda	301	/send-money/austria-to-uganda	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/canada-to-argentina	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/canada-to-bangladesh	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/canada-to-cameroon	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/canada-to-china	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/canada-to-egypt	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/canada-to-ethiopia	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/canada-to-ghana	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/canada-to-indonesia	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/canada-to-malaysia	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/canada-to-mexico	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/canada-to-morocco	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/canada-to-poland	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/canada-to-rwanda	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/canada-to-senegal	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/canada-to-taiwan	404		outside the corridor allowlist (404)
https://sendmoneycompare.com/send-money/canada-to-tanzania	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/canada-to-uganda	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/canada-to-ukraine	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/canada-to-vietnam	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/france-to-cameroon	301	/send-money/austria-to-cameroon	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/france-to-china	301	/send-money/germany-to-china	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/france-to-ethiopia	301	/send-money/austria-to-ethiopia	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/france-to-rwanda	404		outside the corridor allowlist (404)
https://sendmoneycompare.com/send-money/france-to-senegal	301	/send-money/austria-to-senegal	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/france-to-sri-lanka	301	/send-money/austria-to-sri-lanka	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/france-to-tanzania	301	/send-money/austria-to-tanzania	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/france-to-uganda	301	/send-money/austria-to-uganda	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/germany-to-cameroon	301	/send-money/austria-to-cameroon	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/germany-to-ethiopia	301	/send-money/austria-to-ethiopia	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/germany-to-ghana	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/germany-to-honduras	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/germany-to-rwanda	404		outside the corridor allowlist (404)
https://sendmoneycompare.com/send-money/germany-to-senegal	301	/send-money/austria-to-senegal	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/germany-to-sri-lanka	301	/send-money/austria-to-sri-lanka	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/germany-to-tanzania	301	/send-money/austria-to-tanzania	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/germany-to-uganda	301	/send-money/austria-to-uganda	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/greece-to-china	301	/send-money/germany-to-china	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/greece-to-ethiopia	301	/send-money/austria-to-ethiopia	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/greece-to-sri-lanka	301	/send-money/austria-to-sri-lanka	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/greece-to-tanzania	301	/send-money/austria-to-tanzania	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/greece-to-uganda	301	/send-money/austria-to-uganda	consolidated into another corridor page (301)
https://sendmoneycompare.com/send-money/hong-kong-to-argentina	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/hong-kong-to-chile	404		outside the corridor allowlist (404)
https://sendmoneycompare.com/send-money/hong-kong-to-colombia	404		outside the corridor allowlist (404)
https://sendmoneycompare.com/send-money/hong-kong-to-ghana	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/hong-kong-to-indonesia	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/hong-kong-to-kenya	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/hong-kong-to-mexico	410		retired on purpose (410 Gone)
https://sendmoneycompare.com/send-money/hong-kong-to-peru	410		retired on purpose (410 Gone)
