"Date","Citations","Cited Pages"
"5/19/2026 12:00:00 AM","7183","261"
"5/20/2026 12:00:00 AM","6256","257"
"5/21/2026 12:00:00 AM","6826","260"
"5/22/2026 12:00:00 AM","6938","243"
"5/23/2026 12:00:00 AM","6126","194"
"5/24/2026 12:00:00 AM","5942","222"
"5/25/2026 12:00:00 AM","6630","238"
"5/26/2026 12:00:00 AM","7758","255"
"5/27/2026 12:00:00 AM","6709","240"
"5/28/2026 12:00:00 AM","7091","251"
"5/29/2026 12:00:00 AM","6300","240"
"5/30/2026 12:00:00 AM","6854","164"
"5/31/2026 12:00:00 AM","5331","208"
"6/1/2026 12:00:00 AM","6494","258"
"6/2/2026 12:00:00 AM","8483","243"
"6/3/2026 12:00:00 AM","6890","270"
"6/4/2026 12:00:00 AM","7906","266"
"6/5/2026 12:00:00 AM","6520","227"
"6/6/2026 12:00:00 AM","5617","198"
"6/7/2026 12:00:00 AM","6271","199"
"6/8/2026 12:00:00 AM","7723","251"
"6/9/2026 12:00:00 AM","7179","246"
"6/10/2026 12:00:00 AM","8100","224"
"6/11/2026 12:00:00 AM","11181","254"
"6/12/2026 12:00:00 AM","7979","235"
"6/13/2026 12:00:00 AM","6470","203"
"6/14/2026 12:00:00 AM","5682","214"
"6/15/2026 12:00:00 AM","6609","246"
"6/16/2026 12:00:00 AM","5675","242"
"6/17/2026 12:00:00 AM","7028","256"
"6/18/2026 12:00:00 AM","6972","256"
"6/19/2026 12:00:00 AM","6479","219"
"6/20/2026 12:00:00 AM","6097","200"
"6/21/2026 12:00:00 AM","6151","195"
"6/22/2026 12:00:00 AM","7963","258"
"6/23/2026 12:00:00 AM","7165","262"
"6/24/2026 12:00:00 AM","7339","245"
"6/25/2026 12:00:00 AM","7413","264"
"6/26/2026 12:00:00 AM","8172","262"
"6/27/2026 12:00:00 AM","7080","237"
"6/28/2026 12:00:00 AM","6803","237"
"6/29/2026 12:00:00 AM","8881","268"
"6/30/2026 12:00:00 AM","9117","241"
"7/1/2026 12:00:00 AM","8446","243"
"7/2/2026 12:00:00 AM","8647","245"
"7/3/2026 12:00:00 AM","7632","236"
"7/4/2026 12:00:00 AM","6090","189"
"7/5/2026 12:00:00 AM","6678","216"
"7/6/2026 12:00:00 AM","7832","234"
"7/7/2026 12:00:00 AM","7459","227"
"7/8/2026 12:00:00 AM","7945","246"
"7/9/2026 12:00:00 AM","8721","244"
"7/10/2026 12:00:00 AM","9466","213"
"7/11/2026 12:00:00 AM","8116","181"
"7/12/2026 12:00:00 AM","8142","196"
"7/13/2026 12:00:00 AM","9442","217"
"7/14/2026 12:00:00 AM","9829","216"
"7/15/2026 12:00:00 AM","9430","209"
"7/16/2026 12:00:00 AM","11058","218"
"7/17/2026 12:00:00 AM","8822","209"
"7/18/2026 12:00:00 AM","7706","167"
"7/19/2026 12:00:00 AM","7299","187"
"7/20/2026 12:00:00 AM","9180","203"
"7/21/2026 12:00:00 AM","9824","207"
"7/22/2026 12:00:00 AM","10371","214"
"7/23/2026 12:00:00 AM","9666","215"
"7/24/2026 12:00:00 AM","8892","194"
"7/25/2026 12:00:00 AM","7220","157"
"7/26/2026 12:00:00 AM","7301","175"
"7/27/2026 12:00:00 AM","3040","128"
"7/28/2026 12:00:00 AM","2729","118"
"7/29/2026 12:00:00 AM","2442","115"
"7/30/2026 12:00:00 AM","3126","121"
"7/31/2026 12:00:00 AM","2341","106"
"8/1/2026 12:00:00 AM","1233","74"
"8/2/2026 12:00:00 AM","1831","82"
"8/3/2026 12:00:00 AM","2638","118"
"8/4/2026 12:00:00 AM","3040","134"
"8/5/2026 12:00:00 AM","3093","120"
"8/6/2026 12:00:00 AM","3019","113"
"8/7/2026 12:00:00 AM","8292","204"
"8/8/2026 12:00:00 AM","6891","167"
"8/9/2026 12:00:00 AM","7113","163"
"8/10/2026 12:00:00 AM","8983","191"
"8/11/2026 12:00:00 AM","6186","158"
"8/12/2026 12:00:00 AM","9585","210"
"8/13/2026 12:00:00 AM","9307","192"
"8/14/2026 12:00:00 AM","8633","199"
"8/15/2026 12:00:00 AM","6744","165"
"8/16/2026 12:00:00 AM","7647","187"
"8/17/2026 12:00:00 AM","8453","189"
