"Page","Impressions","Clicks","CTR","Avg. Position"
"https://sendmoneycompare.com/guides/best-money-transfer-apps","6789","32","0.47000000000000003%","3.48047984975696"
"https://sendmoneycompare.com/companies/remitly","6101","11","0.18%","5.771675135223734"
"https://sendmoneycompare.com/guides/us-dollar-forecast-2026","2039","47","2.31%","3.8513876900441395"
"https://sendmoneycompare.com/guides/money-transfer-limits-by-provider-country","999","19","1.9000000000000001%","5.532517617617618"
"https://sendmoneycompare.com/guides/iban-numbers-explained","809","0","0%","7.229921878862792"
"https://sendmoneycompare.com/iban/italy","723","22","3.04%","4.3402507607192256"
"https://sendmoneycompare.com/guides/revolut-foreign-transaction-fees-2026","615","27","4.39%","3.3756108943089433"
"https://sendmoneycompare.com/iban/germany","567","10","1.76%","4.73721569664903"
"https://sendmoneycompare.com/guides/send-money-to-philippines-guide","486","36","7.41%","3.995890534979423"
"https://sendmoneycompare.com/iban/spain","443","1","0.23%","6.085777652370205"
"https://sendmoneycompare.com/guides/wire-transfer-guide","429","7","1.6300000000000001%","6.909090209790212"
"https://sendmoneycompare.com/exchange-rates/usd-to-php","423","2","0.47000000000000003%","7.099277541371158"
"https://sendmoneycompare.com/iban/poland","390","9","2.31%","5.382059487179488"
"https://sendmoneycompare.com/companies/taptap-send","382","5","1.31%","4.562818848167538"
"https://sendmoneycompare.com/iban/united-arab-emirates","379","5","1.32%","4.799470976253298"
"https://sendmoneycompare.com/iban/ireland","326","10","3.0700000000000003%","4.187130061349692"
"https://sendmoneycompare.com/iban/belgium","313","10","3.19%","4.616616932907348"
"https://sendmoneycompare.com/iban/france","298","3","1.01%","6.389265100671142"
"https://sendmoneycompare.com/iban/sweden","297","3","1.01%","6.3434346801346795"
"https://sendmoneycompare.com/iban/netherlands","292","2","0.68%","5.071916095890411"
"https://sendmoneycompare.com/companies/xoom","288","3","1.04%","6.781243055555556"
"https://sendmoneycompare.com/iban/switzerland","284","1","0.35000000000000003%","5.447169366197184"
