"Date","Clicks","Impressions","Avg. CTR"
"5/19/2026 12:00:00 AM","37","2314","1.6"
"5/20/2026 12:00:00 AM","31","2607","1.19"
"5/21/2026 12:00:00 AM","37","3630","1.02"
"5/22/2026 12:00:00 AM","31","4449","0.7"
"5/23/2026 12:00:00 AM","19","2421","0.78"
"5/24/2026 12:00:00 AM","22","2417","0.91"
"5/25/2026 12:00:00 AM","32","4091","0.78"
"5/26/2026 12:00:00 AM","35","5250","0.67"
"5/27/2026 12:00:00 AM","49","4196","1.17"
"5/28/2026 12:00:00 AM","52","5047","1.03"
"5/29/2026 12:00:00 AM","38","4022","0.94"
"5/30/2026 12:00:00 AM","27","1946","1.39"
"5/31/2026 12:00:00 AM","37","2479","1.49"
"6/1/2026 12:00:00 AM","66","4724","1.4"
"6/2/2026 12:00:00 AM","63","3396","1.86"
"6/3/2026 12:00:00 AM","60","3739","1.6"
"6/4/2026 12:00:00 AM","44","3659","1.2"
"6/5/2026 12:00:00 AM","51","2855","1.79"
"6/6/2026 12:00:00 AM","25","1470","1.7"
"6/7/2026 12:00:00 AM","21","1736","1.21"
"6/8/2026 12:00:00 AM","58","3410","1.7"
"6/9/2026 12:00:00 AM","55","3292","1.67"
"6/10/2026 12:00:00 AM","63","3405","1.85"
"6/11/2026 12:00:00 AM","49","3830","1.28"
"6/12/2026 12:00:00 AM","38","3185","1.19"
"6/13/2026 12:00:00 AM","15","1762","0.85"
"6/14/2026 12:00:00 AM","26","2266","1.15"
"6/15/2026 12:00:00 AM","54","4220","1.28"
"6/16/2026 12:00:00 AM","73","4397","1.66"
"6/17/2026 12:00:00 AM","34","4354","0.78"
"6/18/2026 12:00:00 AM","55","3487","1.58"
"6/19/2026 12:00:00 AM","49","2620","1.87"
"6/20/2026 12:00:00 AM","20","1630","1.23"
"6/21/2026 12:00:00 AM","29","1932","1.5"
"6/22/2026 12:00:00 AM","50","4180","1.2"
"6/23/2026 12:00:00 AM","71","4495","1.58"
"6/24/2026 12:00:00 AM","49","4387","1.12"
"6/25/2026 12:00:00 AM","53","4130","1.28"
"6/26/2026 12:00:00 AM","36","3225","1.12"
"6/27/2026 12:00:00 AM","27","1681","1.61"
"6/28/2026 12:00:00 AM","31","2180","1.42"
"6/29/2026 12:00:00 AM","56","3900","1.44"
"6/30/2026 12:00:00 AM","53","3890","1.36"
"7/1/2026 12:00:00 AM","53","3606","1.47"
"7/2/2026 12:00:00 AM","48","3556","1.35"
"7/3/2026 12:00:00 AM","36","2701","1.33"
"7/4/2026 12:00:00 AM","20","1178","1.7"
"7/5/2026 12:00:00 AM","25","1774","1.41"
"7/6/2026 12:00:00 AM","52","3433","1.51"
"7/7/2026 12:00:00 AM","44","3227","1.36"
"7/8/2026 12:00:00 AM","53","3311","1.6"
"7/9/2026 12:00:00 AM","41","3193","1.28"
"7/10/2026 12:00:00 AM","21","2500","0.84"
"7/11/2026 12:00:00 AM","24","1023","2.35"
"7/12/2026 12:00:00 AM","23","1461","1.57"
"7/13/2026 12:00:00 AM","37","3606","1.03"
"7/14/2026 12:00:00 AM","45","3903","1.15"
"7/15/2026 12:00:00 AM","49","4138","1.18"
"7/16/2026 12:00:00 AM","41","4172","0.98"
"7/17/2026 12:00:00 AM","34","3266","1.04"
"7/18/2026 12:00:00 AM","10","1815","0.55"
"7/19/2026 12:00:00 AM","20","3268","0.61"
"7/20/2026 12:00:00 AM","36","4805","0.75"
"7/21/2026 12:00:00 AM","32","5293","0.6"
"7/22/2026 12:00:00 AM","31","4732","0.66"
"7/23/2026 12:00:00 AM","31","3613","0.86"
"7/24/2026 12:00:00 AM","24","3077","0.78"
"7/25/2026 12:00:00 AM","7","1716","0.41"
"7/26/2026 12:00:00 AM","12","2086","0.58"
"7/27/2026 12:00:00 AM","33","3854","0.86"
"7/28/2026 12:00:00 AM","30","3719","0.81"
"7/29/2026 12:00:00 AM","35","3882","0.9"
"7/30/2026 12:00:00 AM","33","4312","0.77"
"7/31/2026 12:00:00 AM","20","3785","0.53"
"8/1/2026 12:00:00 AM","12","2687","0.45"
"8/2/2026 12:00:00 AM","15","2481","0.6"
"8/3/2026 12:00:00 AM","25","3776","0.66"
"8/4/2026 12:00:00 AM","29","3805","0.76"
"8/5/2026 12:00:00 AM","40","4035","0.99"
"8/6/2026 12:00:00 AM","35","4319","0.81"
"8/7/2026 12:00:00 AM","24","3832","0.63"
"8/8/2026 12:00:00 AM","14","2798","0.5"
"8/9/2026 12:00:00 AM","20","3665","0.55"
"8/10/2026 12:00:00 AM","41","5417","0.76"
"8/11/2026 12:00:00 AM","44","4257","1.03"
"8/12/2026 12:00:00 AM","23","3721","0.62"
"8/13/2026 12:00:00 AM","31","3546","0.87"
"8/14/2026 12:00:00 AM","36","4407","0.82"
"8/15/2026 12:00:00 AM","19","3673","0.52"
"8/16/2026 12:00:00 AM","19","4340","0.44"
"8/17/2026 12:00:00 AM","54","5779","0.93"
